anchor,title,raw,calibrated,pack
04_echo_2000_04,?,0.489,0.7295714285714285,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2000_eminem__the_real_slim_shady__album/2000_eminem__the_real_slim_shady__album_20251111_222500.pack.json
04_echo_2000_04,?,0.462,0.7025714285714286,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2003_beyonce_jay_z__crazy_in_love__album/2003_beyonce_jay_z__crazy_in_love__album_20251111_223408.pack.json
04_echo_2000_04,?,0.305,0.5455714285714286,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2002_avril_lavigne__complicated__album/2002_avril_lavigne__complicated__album_20251111_222924.pack.json
04_echo_2000_04,?,0.26,0.5005714285714287,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2003_outkast__hey_ya__album/2003_outkast__hey_ya__album_20251111_223809.pack.json
04_echo_2000_04,?,0.423,0.6635714285714286,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2001_kylie_minogue__cant_get_you_out_of_my_head__single/2001_kylie_minogue__cant_get_you_out_of_my_head__single_20251111_222736.pack.json
04_echo_2000_04,?,0.498,0.7385714285714287,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2004_kelly_clarkson__since_u_been_gone__album/2004_kelly_clarkson__since_u_been_gone__album_20251111_224142.pack.json
04_echo_2000_04,?,0.394,0.6345714285714286,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2003_britney_spears__toxic__album/2003_britney_spears__toxic__album_20251111_223714.pack.json
04_echo_2000_04,?,0.516,0.7565714285714287,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2002_nelly__hot_in_herre__album/2002_nelly__hot_in_herre__album_20251111_223200.pack.json
04_echo_2000_04,?,0.354,0.5945714285714285,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2001_u2__beautiful_day__album/2001_u2__beautiful_day__album_20251111_222812.pack.json
04_echo_2000_04,?,0.356,0.5965714285714285,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/04_echo_2000_04/_packs/2025/11/11/2000_coldplay__yellow__album/2000_coldplay__yellow__album_20251111_222407.pack.json
02_echo_1990_94,?,0.32,0.5546111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1992_boyz_ii_men__end_of_the_road__album/1992_boyz_ii_men__end_of_the_road__album_20251111_215218.pack.json
02_echo_1990_94,?,0.427,0.6616111111111111,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1991_r_e_m__losing_my_religion__album/1991_r_e_m__losing_my_religion__album_20251111_215039.pack.json
02_echo_1990_94,?,0.529,0.7636111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1991_michael_jackson__black_or_white__album/1991_michael_jackson__black_or_white__album_20251111_214846.pack.json
02_echo_1990_94,?,0.44,0.6746111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1992_dr_dre__nuthin_but_a_g_thang__album/1992_dr_dre__nuthin_but_a_g_thang__album_20251111_215422.pack.json
02_echo_1990_94,?,0.387,0.6216111111111111,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1993_radiohead__creep__album/1993_radiohead__creep__album_20251111_215928.pack.json
02_echo_1990_94,?,0.488,0.7226111111111111,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1990_sinead_oconnor__nothing_compares_2_u__single/1990_sinead_oconnor__nothing_compares_2_u__single_20251111_214420.pack.json
02_echo_1990_94,?,0.528,0.7626111111111111,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1994_green_day__basket_case__album/1994_green_day__basket_case__album_20251111_220010.pack.json
02_echo_1990_94,?,0.519,0.7536111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1990_vanilla_ice__ice_ice_baby__single/1990_vanilla_ice__ice_ice_baby__single_20251111_214513.pack.json
02_echo_1990_94,?,0.529,0.7636111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1991_mariah_carey__emotions__album/1991_mariah_carey__emotions__album_20251111_214626.pack.json
02_echo_1990_94,?,0.341,0.5756111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1993_celine_dion__the_power_of_love__album/1993_celine_dion__the_power_of_love__album_20251111_215829.pack.json
02_echo_1990_94,?,0.316,0.5506111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1994_mariah_carey__all_i_want_for_christmas_is_you__album/1994_mariah_carey__all_i_want_for_christmas_is_you__album_20251111_220052.pack.json
02_echo_1990_94,?,0.493,0.7276111111111112,/Volumes/Sound Bank/***Workload***/REFERENCES/44.1kHz/MusicAdvisor_calibration_11.10.2025/audio_norm/02_echo_1990_94/_packs/2025/11/11/1990_madonna__vogue__album/1990_madonna__vogue__album_20251111_214149.pack.json
